chr	start	stop	q-value	mean methylation difference	#CpGs	p (MWU)	p (2D KS)	mean g1	mean g2
chr1	90724448	90725445	8.7874e-05	0.288844	9	6.5189e-10	4.782e-08	0.48538	0.19653
chr1	90726026	90727247	8.7013e-08	0.318064	11	6.7613e-14	7.3882e-12	0.47362	0.15555
chr1	90729602	90730932	0.016614	0.242085	9	6.8319e-06	0.00015362	0.49315	0.25107
chr1	90834658	90835003	0.00045227	0.31795	7	2.0177e-09	4.6075e-07	0.5298	0.21185
chr1	90835647	90836406	0.0001642	0.312379	6	5.2249e-09	1.0876e-07	0.51294	0.20056
chr1	110068277	110069423	0.0027753	0.256418	8	7.4909e-08	5.2451e-06	0.42672	0.1703
chr1	114853414	114854009	0.021733	-0.277376	5	3.738e-05	0.00025059	0.61461	0.89198
chr1	115286058	115287236	0.0039841	-0.149172	9	5.0328e-06	1.0735e-05	0.73396	0.88313
chr1	118984160	118984755	0.000348	0.2942	6	3.8021e-08	3.4701e-07	0.51788	0.22368
chr1	118985541	118986226	0.00020603	0.315129	5	4.3748e-09	1.5353e-07	0.57191	0.25678
chr1	118987977	118988471	3.5426e-05	0.35012	5	1.9112e-09	1.2809e-08	0.44427	0.094148
chr1	118989002	118990303	6.3181e-08	0.303255	17	3.9524e-14	4.7763e-12	0.55946	0.2562
chr1	118992877	118993442	0.00029716	0.322335	6	1.4773e-09	2.3641e-07	0.54412	0.22179
chr1	118999536	119000007	3.9891e-05	0.317993	6	7.0384e-11	1.5509e-08	0.50216	0.18417
chr1	119005904	119006690	3.4934e-05	0.355303	6	8.4876e-10	1.245e-08	0.52946	0.17416
chr1	119007003	119007862	0.00034129	0.277858	5	6.2044e-09	3.2545e-07	0.48422	0.20636
chr1	148328900	148329665	0.032549	0.131634	7	5.1983e-05	0.00038643	0.66774	0.5361
chr1	151838009	151838429	0.032296	0.151328	7	0.16042	0.00038308	0.41511	0.26379
chr1	152757551	152758243	0.016444	-0.261837	5	2.4417e-05	0.0001285	0.35574	0.61757
chr1	152760549	152760920	0.0012109	-0.311365	6	1.2556e-08	1.7262e-06	0.60206	0.91343
chr1	156388047	156388821	5.7292e-05	0.268622	10	1.6185e-09	2.481e-08	0.42078	0.15216
chr1	157925437	157925860	0.016444	-0.280032	5	4.4586e-06	0.00014849	0.5513	0.83133
chr1	161038337	161039188	1.503e-05	-0.191145	11	6.3505e-14	4.3826e-09	0.17832	0.36947
chr1	166070207	166070682	0.0069919	-0.307018	5	2.3302e-07	4.0549e-05	0.47584	0.78286
chr1	169427468	169427672	0.020385	0.241939	7	5.4653e-05	0.00023262	0.30435	0.062413
chr1	201739660	201740548	9.1354e-06	-0.193159	8	3.0587e-13	2.2827e-09	0.11129	0.30445
chr1	202010371	202010719	0.033416	-0.161697	5	6.6834e-05	0.00039781	0.4283	0.59
chr1	203629202	203629962	0.0040133	0.196967	7	2.5473e-06	1.8422e-05	0.23547	0.0385
chr1	204359715	204360180	0.0046922	0.191847	8	7.96e-07	2.4442e-05	0.43194	0.24009
chr1	204996872	204997385	0.0055	-0.160817	7	5.9511e-06	2.9263e-05	0.74916	0.90997
chr1	219958749	219959387	0.027222	-0.165216	6	5.4336e-05	0.00032015	0.77247	0.93768
chr1	227925105	227925507	0.036421	-0.102195	5	0.0044759	0.00046076	0.6234	0.72559
chr1	228371286	228371621	0.0040696	-0.212757	5	1.4241e-06	1.9214e-05	0.61557	0.82833
chr1	234531341	234531804	0.0039841	0.151858	6	7.4254e-05	1.1078e-05	0.65079	0.49893
chr1	235650539	235651163	0.016444	0.168696	11	0.00023365	0.00012945	0.34533	0.17664
chr1	243482933	243483486	0.0068165	0.211633	6	7.316e-07	3.8869e-05	0.57006	0.35843
chr1	247451425	247452382	0.0017819	-0.261524	8	1.0865e-07	3.1635e-06	0.59406	0.85559
chr1	247548808	247549290	0.00034657	-0.276958	8	7.3486e-10	3.4184e-07	0.36715	0.6441
chr1	247841584	247842055	0.03535	-0.208326	5	0.00039858	0.00043775	0.63784	0.84617
chr1	247937105	247937313	0.044318	0.203442	6	6.0672e-06	0.00058359	0.35604	0.15259
chr10	683264	684017	5.7647e-06	-0.288784	8	1.0705e-10	1.2659e-09	0.57728	0.86606
chr10	1527776	1528224	0.0066044	-0.277482	5	7.0637e-06	3.7255e-05	0.55132	0.8288
chr10	1725288	1725722	0.010031	-0.224468	6	6.5575e-05	6.0076e-05	0.69977	0.92424
chr10	2225004	2225397	0.016444	-0.326797	5	2.0954e-06	0.00014697	0.53338	0.86018
chr10	2772812	2773356	0.00010863	-0.323936	6	2.4934e-08	6.4405e-08	0.554	0.87793
chr10	2889769	2890429	0.0027441	-0.213908	7	1.3783e-07	5.1762e-06	0.72509	0.939
chr10	3241374	3241936	0.0029859	-0.208848	7	7.0069e-05	5.7075e-06	0.58385	0.7927
chr10	11005308	11005624	0.0070934	0.112264	6	0.00067283	4.1301e-05	0.71311	0.60085
chr10	22333864	22336087	0.0039841	0.253315	14	8.4322e-09	1.5351e-05	0.54298	0.28966
chr10	22345270	22345805	0.003992	0.22948	9	6.3318e-06	1.7378e-05	0.36686	0.13738
chr10	27746702	27747223	0.003992	0.2228	7	1.1484e-05	1.7527e-05	0.38852	0.16572
chr10	45418828	45419502	0.0092998	0.22906	7	9.2436e-06	5.5406e-05	0.26787	0.038807
chr10	47322384	47322581	0.00023964	0.173536	7	6.649e-06	1.8289e-07	0.67187	0.49834
chr10	48684696	48684982	0.044706	-0.121367	8	8.0128e-06	0.0005895	0.54514	0.66651
chr10	48685291	48685505	0.045533	-0.191834	7	9.3908e-07	0.00060074	0.46794	0.65977
chr10	70602536	70603111	0.03895	-0.103174	9	1.8608e-05	0.0005003	0.59576	0.69893
chr10	84241398	84241805	0.013043	-0.2129	7	6.2908e-06	8.198e-05	0.56729	0.78019
chr10	92045684	92046114	0.0067786	0.133205	5	0.00013748	3.8479e-05	0.66388	0.53067
chr10	100519573	100520002	9.6752e-05	0.241091	8	1.8655e-11	5.5378e-08	0.51296	0.27186
chr10	101136619	101137113	0.00061271	0.191036	5	4.0622e-06	7.0139e-07	0.3624	0.17137
chr10	101140192	101140735	1.2188e-05	0.311497	6	5.3172e-10	3.3552e-09	0.3881	0.076605
chr10	101238025	101238361	0.0039841	0.192922	6	2.234e-06	1.2599e-05	0.55268	0.35975
chr10	102775764	102776279	0.013322	0.14749	8	1.2504e-05	8.8193e-05	0.395	0.24751
chr10	103479116	103479434	0.021602	-0.107426	5	9.2421e-05	0.000249	0.44428	0.5517
chr10	117131466	117132196	0.013415	0.201491	7	7.0069e-05	9.0159e-05	0.38935	0.18786
chr10	117132700	117134092	0.0008009	0.257841	11	1.011e-10	1.009e-06	0.37487	0.11703
chr10	117197128	117197749	0.00085144	-0.138889	9	1.2598e-09	1.0912e-06	0.57822	0.71711
chr10	117541953	117542657	0.020491	0.190978	8	7.3227e-06	0.00023439	0.26866	0.077679
chr10	119818459	119819335	0.0043292	0.138827	6	2.4934e-08	2.16e-05	0.82761	0.68879
chr10	121593784	121594681	0.00052209	0.100262	14	2.8092e-05	5.4127e-07	0.76892	0.66866
chr10	125775596	125776445	0.048043	-0.117512	10	3.6102e-06	0.00063524	0.71807	0.83558
chr10	126504650	126504929	5.7292e-05	-0.202338	5	3.3879e-08	2.5986e-08	0.57313	0.77547
chr10	127736874	127737635	0.029804	0.213014	9	3.7956e-05	0.00035256	0.33188	0.11887
chr10	129415313	129416322	0.016747	-0.237729	9	2.2583e-07	0.00015687	0.59384	0.83156
chr10	130013341	130013639	0.0073799	-0.219456	5	2.5363e-06	4.3409e-05	0.61923	0.83869
chr10	130833778	130834739	0.0033358	-0.250115	10	3.1846e-09	6.8809e-06	0.61485	0.86496
chr10	131088371	131088847	0.017856	-0.261659	6	1.4787e-05	0.00018023	0.64092	0.90258
chr10	131093056	131093492	5.8124e-05	-0.382448	5	1.2356e-08	2.6573e-08	0.5643	0.94675
chr10	131201867	131202209	0.00058373	-0.362675	5	1.7351e-08	6.3996e-07	0.53092	0.89359
chr10	131259906	131260726	0.00014592	-0.290564	7	3.1059e-09	9.4549e-08	0.52368	0.81425
chr10	131410223	131410722	0.0001095	-0.373884	5	8.7702e-09	6.5436e-08	0.53729	0.91118
chr10	131475537	131475922	0.00069498	-0.293331	6	8.1211e-09	8.0844e-07	0.58706	0.88039
chr10	131675662	131676531	1.0338e-08	-0.327745	10	4.2522e-14	5.2101e-13	0.53595	0.8637
chr10	132305929	132306526	0.032791	-0.136033	7	0.00011404	0.00038977	0.78643	0.92246
chr10	132336985	132337257	0.00023964	0.279547	7	1.5981e-10	1.8208e-07	0.52155	0.242
chr10	132916438	132917367	0.013597	-0.222294	7	7.0266e-06	9.2096e-05	0.62672	0.84902
chr10	132922389	132922745	0.00445	-0.305512	5	3.5198e-07	2.2534e-05	0.64539	0.9509
chr10	132960509	132961278	0.00098862	-0.226938	5	1.109e-05	1.2919e-06	0.58684	0.81377
chr10	132989634	132990215	0.018819	-0.200049	6	0.00048461	0.00020974	0.66857	0.86862
chr10	133019808	133020721	0.0032156	-0.164977	9	7.7051e-07	6.5234e-06	0.68336	0.84834
chr10	133024219	133025092	0.0039841	-0.205258	6	6.5057e-06	1.2023e-05	0.56108	0.76634
chr10	133130942	133131596	0.043781	-0.236013	6	3.9739e-06	0.00057604	0.48778	0.72379
chr10	133178475	133179087	0.0040892	-0.212563	6	2.0768e-06	1.9387e-05	0.71302	0.92559
chr10	133183391	133183968	0.012606	-0.228968	7	7.4247e-06	7.8961e-05	0.61621	0.84518
chr10	133207152	133207597	0.0044772	-0.357488	5	3.1767e-07	2.279e-05	0.57967	0.93716
chr10	133526941	133527522	0.021329	-0.200425	8	2.2559e-07	0.00024549	0.5742	0.77462
chr11	278394	278539	0.016444	-0.132309	6	0.00018368	0.00012393	0.58357	0.71588
chr11	637032	637176	1.7311e-06	0.394284	7	2.343e-10	3.0535e-10	0.44394	0.049652
chr11	1450180	1450710	0.0070873	-0.247964	6	4.9898e-07	4.1229e-05	0.6148	0.86276
chr11	1648048	1649076	0.032713	-0.206436	7	4.4999e-06	0.00038861	0.67436	0.8808
chr11	1652206	1652670	0.0070113	-0.214337	6	4.4939e-05	4.0711e-05	0.56824	0.78258
chr11	1834056	1835078	8.3694e-05	-0.155758	14	3.2543e-11	4.218e-08	0.47713	0.63289
chr11	1852527	1853091	0.0039841	-0.218854	6	8.0107e-06	1.0883e-05	0.45615	0.675
chr11	1996709	1996998	0.013296	-0.144692	8	7.6583e-05	8.6226e-05	0.64878	0.79347
chr11	2132761	2133723	0.0067786	-0.171939	9	1.983e-07	3.852e-05	0.29839	0.47033
chr11	2161070	2161566	0.01032	-0.218286	10	6.4522e-09	6.1892e-05	0.55766	0.77594
chr11	2162190	2162635	0.0040185	-0.201334	7	9.9691e-07	1.8658e-05	0.59935	0.80069
chr11	2271131	2271462	0.00053828	0.1896	13	1.1234e-08	5.6194e-07	0.27721	0.087612
chr11	2301388	2302230	0.012946	-0.155005	15	6.1657e-07	8.1323e-05	0.43638	0.59138
chr11	2460219	2461172	0.013282	-0.16828	15	1.2615e-09	8.3719e-05	0.65032	0.8186
chr11	2869321	2869496	5.5824e-05	0.248334	13	1.6395e-11	2.3512e-08	0.53586	0.28752
chr11	2900821	2901623	0.0074958	-0.126293	13	2.3681e-06	4.428e-05	0.76747	0.89376
chr11	2904404	2904740	0.00031862	-0.242834	6	2.3307e-09	2.7397e-07	0.5577	0.80053
chr11	3166132	3166787	2.852e-06	-0.185924	22	7.383e-14	5.4413e-10	0.70412	0.89005
chr11	16610541	16611178	0.00058571	0.240861	5	3.8986e-07	6.4828e-07	0.57444	0.33358
chr11	17544331	17544505	0.045051	0.183742	7	0.00090577	0.00059422	0.21602	0.032279
chr11	18209073	18209357	0.016444	0.193154	5	8.5272e-05	0.00014761	0.52009	0.32694
chr11	22432606	22433116	0.00018305	0.273181	6	1.6266e-08	1.2836e-07	0.51194	0.23876
chr11	26993972	26994445	0.0016446	0.18714	7	1.3414e-06	2.8062e-06	0.36054	0.1734
chr11	31824867	31825303	0.0039841	0.227745	6	4.2165e-05	1.2184e-05	0.42099	0.19324
chr11	32427617	32429147	0.022948	0.157827	11	1.367e-05	0.00026583	0.42485	0.26703
chr11	44311363	44311582	0.0024078	0.220869	10	9.7135e-09	4.5246e-06	0.40799	0.18712
chr11	45695834	45696064	0.0019067	-0.203115	6	1.1284e-05	3.5349e-06	0.72057	0.92368
chr11	45696436	45697122	0.010462	-0.202766	8	5.3497e-07	6.2782e-05	0.54146	0.74423
chr11	60515239	60515463	0.00089875	-0.118384	7	8.8448e-07	1.1614e-06	0.79592	0.9143
chr11	62709419	62709891	1.5717e-05	0.254997	8	2.5797e-09	4.6394e-09	0.30064	0.04564
chr11	64593252	64593549	0.0039841	-0.254585	6	5.3081e-08	1.2834e-05	0.6502	0.90478
chr11	64891150	64891594	0.0068601	-0.178479	11	3.8724e-06	3.9251e-05	0.68299	0.86147
chr11	64971781	64972381	0.017602	0.187192	8	4.6949e-05	0.00017546	0.43266	0.24547
chr11	65607192	65607733	9.3056e-05	0.268457	6	2.5516e-09	5.2024e-08	0.8021	0.53364
chr11	69014508	69014744	0.016444	0.154954	5	0.010144	0.00013519	0.57052	0.41557
chr11	69654021	69654408	0.011384	-0.231617	6	3.7006e-06	7.0573e-05	0.64801	0.87963
chr11	70661720	70662555	0.0034539	0.113982	11	1.3662e-07	7.505e-06	0.51829	0.40431
chr11	72013241	72013632	0.016444	0.146942	6	7.8991e-05	0.000121	0.75567	0.60873
chr11	77411794	77412287	0.016444	0.205705	5	0.00025475	0.00014306	0.32039	0.11469
chr11	86374324	86375060	0.0069919	0.318532	8	1.9319e-07	4.0539e-05	0.51724	0.19871
chr11	111912603	111912840	0.003373	0.286151	6	3.3853e-07	7.0608e-06	0.45102	0.16487
chr11	115153642	115154224	0.0069744	-0.241637	6	7.8991e-05	4.0258e-05	0.66875	0.91039
chr11	122116028	122116496	0.021329	-0.228802	7	0.00013165	0.00024554	0.64031	0.86911
chr11	123525331	123525886	0.00016381	0.183045	8	5.5018e-09	1.0792e-07	0.70668	0.52363
chr11	123559867	123560455	0.011162	0.171987	5	6.6834e-05	6.7588e-05	0.33284	0.16085
chr11	124441043	124441528	0.0017819	-0.331503	6	1.369e-08	3.1688e-06	0.50517	0.83667
chr11	125904187	125904553	0.0043068	0.190658	6	1.5337e-07	2.1292e-05	0.23552	0.044866
chr11	128842385	128843038	0.0059595	-0.247804	7	8.7526e-06	3.1858e-05	0.64458	0.89238
chr11	130189654	130189897	0.00059823	-0.220808	5	8.0999e-08	6.7836e-07	0.69623	0.91704
chr11	132237525	132237806	0.0068408	-0.180617	5	8.4697e-06	3.9036e-05	0.71254	0.89316
chr12	213348	214077	0.0098231	-0.130673	11	1.0868e-07	5.8701e-05	0.36273	0.4934
chr12	2504537	2504783	9.1354e-06	-0.411852	5	1.3329e-09	2.2043e-09	0.50918	0.92103
chr12	2691016	2691754	0.016763	0.128068	9	0.0022553	0.00015707	0.34763	0.21956
chr12	4445129	4445806	2.1876e-05	-0.270051	11	2.9019e-10	7.6388e-09	0.56815	0.83821
chr12	4813950	4814364	0.016444	-0.234141	5	4.7775e-07	0.00014844	0.65473	0.88887
chr12	6555706	6556282	1.1558e-05	0.282178	7	3.6225e-11	3.0789e-09	0.60896	0.32678
chr12	12070727	12071524	0.0039841	-0.199119	5	2.24e-05	1.1258e-05	0.38286	0.58198
chr12	12785148	12785492	0.016444	0.115356	5	5.3654e-06	0.00013907	0.83149	0.71614
chr12	14843581	14843654	0.00020097	0.242653	5	8.7702e-09	1.4415e-07	0.82451	0.58186
chr12	16605020	16605334	0.011339	0.162515	6	2.2042e-05	6.9432e-05	0.27748	0.11496
chr12	24902174	24903310	8.4297e-05	0.268816	11	3.5179e-10	4.5002e-08	0.42921	0.1604
chr12	29497641	29498109	0.0014061	-0.222363	7	1.2631e-08	2.0595e-06	0.6785	0.90086
chr12	34602013	34602634	0.016444	-0.201523	6	4.2666e-06	0.00012189	0.42754	0.62906
chr12	43551877	43552716	0.0039841	0.18021	7	6.3465e-05	1.5634e-05	0.41932	0.23911
chr12	52191911	52192109	0.011965	-0.171169	5	8.7155e-07	7.4687e-05	0.3892	0.56037
chr12	52601149	52601575	0.0039841	0.204549	5	1.4241e-06	1.1076e-05	0.53021	0.32566
chr12	53944959	53945505	0.00098862	0.279674	5	9.8355e-09	1.2911e-06	0.3615	0.081826
chr12	53963624	53963988	0.00034129	0.257442	5	1.9416e-08	3.2641e-07	0.36368	0.10624
chr12	54004734	54005808	0.00029507	0.291326	10	2.0891e-09	2.3369e-07	0.52073	0.22941
chr12	54015423	54015987	2.4245e-08	0.327127	12	4.2633e-14	1.3964e-12	0.53761	0.21048
chr12	54030895	54031635	0.00020603	0.382966	5	1.3329e-09	1.5207e-07	0.51944	0.13647
chr12	54046989	54047726	0.0039841	0.315208	6	5.3081e-08	1.2494e-05	0.5719	0.25669
chr12	54053160	54054307	4.1115e-06	0.240341	14	4.9738e-14	8.5844e-10	0.3638	0.12346
chr12	54060379	54060662	5.584e-05	0.28894	5	3.4594e-09	2.372e-08	0.64309	0.35415
chr12	54391219	54391503	0.00033675	-0.187822	5	1.2356e-08	3.1631e-07	0.088967	0.27679
chr12	57194361	57194568	0.0051639	-0.117742	7	6.649e-06	2.7363e-05	0.78855	0.90629
chr12	65729024	65729717	0.01146	0.220286	6	1.0541e-05	7.1329e-05	0.43685	0.21657
chr12	85280082	85280917	0.010626	0.227918	10	1.4957e-05	6.3845e-05	0.30762	0.079707
chr12	104303609	104303768	0.0013965	0.312391	7	4.264e-08	2.036e-06	0.37414	0.06175
chr12	113478668	113480190	0.016993	0.152505	13	6.2148e-06	0.00016273	0.30541	0.1529
chr12	114698054	114698504	0.00098899	0.170623	18	1.205e-07	1.2959e-06	0.26534	0.094722
chr12	116559217	116559381	9.6752e-05	-0.224151	6	1.4773e-09	5.5348e-08	0.3339	0.55805
chr12	119803483	119804710	0.046303	0.112833	12	0.00067111	0.0006114	0.6118	0.49897
chr12	127761048	127761256	0.00059823	-0.351994	5	5.5243e-09	6.7775e-07	0.54585	0.89784
chr12	130474108	130474670	0.0041416	-0.253327	5	1.7287e-06	1.9745e-05	0.64111	0.89444
chr12	132319982	132320354	6.212e-05	-0.366382	5	2.1e-07	2.9966e-08	0.56751	0.93389
chr12	132434098	132434361	0.0016263	-0.261579	5	7.8918e-07	2.7586e-06	0.5606	0.82218
chr13	19181530	19182179	0.0015934	-0.197911	8	1.3619e-06	2.6902e-06	0.71437	0.91228
chr13	24270708	24270801	5.81e-08	0.337843	6	2.8764e-11	4.183e-12	0.38364	0.045798
chr13	27917189	27918533	0.0014935	0.266559	10	5.942e-09	2.2481e-06	0.38443	0.11787
chr13	27923954	27924408	0.011466	0.259427	6	9.4405e-08	7.1407e-05	0.34905	0.089621
chr13	27926745	27927277	0.036676	0.193271	5	4.8054e-05	0.00046671	0.3024	0.10912
chr13	98977716	98978330	0.0039841	0.183026	6	6.9745e-06	1.1814e-05	0.55931	0.37629
chr13	99971688	99972040	0.0039841	0.206766	8	3.6846e-06	1.491e-05	0.38857	0.1818
chr13	99988989	99989853	0.007326	0.23058	9	1.1723e-07	4.3014e-05	0.39108	0.1605
chr13	111320507	111320759	0.0089922	-0.205626	8	8.7648e-06	5.3476e-05	0.55743	0.76305
chr13	111853330	111853893	0.016444	-0.144922	8	0.00041327	0.00011666	0.46476	0.60968
chr13	111956367	111957042	0.044514	-0.259826	6	8.0107e-06	0.00058681	0.66231	0.92213
chr13	112057066	112057696	0.03535	0.198809	5	6.1576e-05	0.00043833	0.31102	0.11221
chr13	112067011	112067637	0.03535	0.157866	9	1.4238e-06	0.00043847	0.29786	0.13999
chr13	112068720	112069268	0.021154	0.241674	5	7.0637e-06	0.00024284	0.38002	0.13835
chr13	112202370	112202706	0.0069873	-0.244795	6	0.00010727	4.0446e-05	0.64125	0.88604
chr13	112770624	112772030	0.0074846	0.112958	13	4.3032e-05	4.4187e-05	0.69539	0.58243
chr13	113455105	113455635	0.0029724	0.119272	5	3.0331e-08	5.6656e-06	0.91947	0.8002
chr13	113658167	113658449	0.00034657	-0.231377	7	2.3334e-08	3.4044e-07	0.66427	0.89565
chr13	114151724	114152166	0.023728	-0.226167	6	2.2042e-05	0.00027846	0.40703	0.6332
chr14	24310587	24311721	0.016444	0.166208	13	7.4052e-06	0.0001296	0.47629	0.31008
chr14	24334473	24335137	8.7013e-08	0.317135	10	7.9898e-11	7.6075e-12	0.38086	0.06373
chr14	28785474	28785914	0.022081	0.192162	5	3.4353e-05	0.00025508	0.37273	0.18057
chr14	36654473	36655230	0.021304	0.187171	7	2.2696e-06	0.00024511	0.4857	0.29853
chr14	55440404	55440784	0.019576	0.206721	9	4.8428e-06	0.00022219	0.64327	0.43654
chr14	56797275	56798202	0.016444	0.157928	7	6.0388e-05	0.00014699	0.3172	0.15927
chr14	56808021	56808696	0.013655	0.242101	7	7.4247e-06	9.266e-05	0.33975	0.097652
chr14	60506744	60507322	0.00031862	0.288731	6	2.2902e-08	2.5857e-07	0.40831	0.11958
chr14	60509093	60509568	0.016873	0.237539	8	1.4293e-06	0.00016042	0.30789	0.070355
chr14	75979645	75980339	0.00057857	0.269328	5	2.1719e-08	6.1931e-07	0.74941	0.48009
chr14	95360233	95360661	0.0014277	0.235543	5	3.3683e-06	2.1073e-06	0.57407	0.33853
chr14	97207134	97207883	0.0067821	-0.27124	5	3.4353e-05	3.8599e-05	0.61287	0.88411
chr14	100880707	100881022	0.0039841	-0.247312	6	8.1211e-09	1.2806e-05	0.55626	0.80357
chr14	100881698	100882350	0.001783	-0.179936	8	3.5749e-07	3.1772e-06	0.74917	0.9291
chr14	100882783	100883758	0.00056488	-0.208022	11	2.9441e-08	5.9784e-07	0.71905	0.92707
chr14	100884357	100884690	0.0070587	-0.230924	5	1.2124e-05	4.1012e-05	0.6855	0.91643
chr14	101023078	101023917	5.9984e-09	-0.286595	17	4.6407e-14	2.5912e-13	0.61105	0.89764
chr14	101025040	101026070	2.0883e-05	-0.25935	12	4.9716e-13	7.1406e-09	0.61958	0.87893
chr14	101033096	101033744	8.4852e-07	-0.339333	6	4.4034e-10	1.344e-10	0.55696	0.89629
chr14	101039186	101040243	0.00027938	-0.235188	12	3.562e-10	2.1818e-07	0.6331	0.86829
chr14	101046037	101046701	0.0014061	-0.283897	7	5.4789e-09	2.0602e-06	0.59899	0.88288
chr14	101055072	101055473	3.7306e-05	-0.287987	10	1.8037e-12	1.3967e-08	0.5965	0.88449
chr14	101059447	101059804	0.00045165	-0.296802	6	2.1031e-08	4.5849e-07	0.58544	0.88224
chr14	101060148	101060808	4.3101e-05	-0.29561	10	9.1938e-13	1.7462e-08	0.60558	0.90118
chr14	101061786	101062335	0.00015284	-0.206387	11	6.8418e-08	9.9584e-08	0.5882	0.79458
chr14	101064006	101064520	0.029804	-0.218483	6	9.1932e-06	0.00035266	0.57163	0.79012
chr14	101065066	101066016	0.00017489	-0.189309	18	5.8087e-11	1.2035e-07	0.70727	0.89658
chr14	101442415	101442685	0.0044794	-0.230773	5	7.2514e-05	2.2821e-05	0.43936	0.67014
chr14	103126751	103127184	0.0027861	0.214959	5	2.24e-05	5.2756e-06	0.7279	0.51294
chr14	104334108	104334766	0.0062325	-0.221685	6	1.3348e-06	3.4397e-05	0.55133	0.77301
chr14	105855446	105856325	0.0032156	-0.268865	7	2.4964e-08	6.5402e-06	0.55425	0.82311
chr15	25169569	25169635	0.012209	-0.234993	5	1.7287e-06	7.6344e-05	0.65215	0.88715
chr15	25189142	25189387	0.0071998	-0.27577	5	4.0622e-06	4.2039e-05	0.58585	0.86162
chr15	25864068	25864468	0.048224	-0.207649	11	4.8623e-05	0.0006378	0.62695	0.83459
chr15	27574160	27574779	0.003041	-0.216615	5	1.5807e-05	5.9443e-06	0.56763	0.78424
chr15	31223547	31224279	0.020685	0.1332	9	0.00013733	0.00023686	0.52338	0.39018
chr15	40307784	40308293	0.0039841	-0.166156	6	8.5134e-07	1.2285e-05	0.28629	0.45245
chr15	52783224	52783629	0.012626	0.315029	5	1.5693e-06	7.9131e-05	0.47991	0.16488
chr15	52794433	52795960	0.0039841	0.26593	10	1.0262e-07	1.1446e-05	0.45096	0.18503
chr15	62243505	62243891	0.0039841	-0.141471	5	1.2918e-06	1.1012e-05	0.71422	0.85569
chr15	68806923	68807496	0.0029724	0.153294	5	5.8461e-07	5.6711e-06	0.84602	0.69272
chr15	87123900	87124322	0.0010576	-0.380253	5	4.7106e-08	1.3911e-06	0.50229	0.88254
chr15	89377593	89377952	0.00010863	0.261203	6	1.1513e-08	6.4525e-08	0.42422	0.16302
